review_id,user_id,order_id,rating,text,platform,created_at
REV0048,U02020,ORD011459,1,"Updated the app hoping it would fix payments. Nope, still broken.",ios,2025-01-19 17:21:03
REV0033,U00860,ORD013118,1,I literally cannot order food anymore. Payment is 100% broken on iOS.,ios,2025-01-20 01:30:56
REV0027,U01269,ORD014565,1,"Payment fails with some generic error message. No explanation, no help.",ios,2025-01-20 14:14:47
REV0042,U03346,ORD012926,4,"App works great on my Pixel. Quick checkout, good food.",android,2025-01-21 06:33:24
REV0034,U02852,ORD012345,1,Switching to a competitor. Two weeks of broken payments is unacceptable.,ios,2025-01-21 10:09:49
REV0024,U00003,ORD014312,1,Works fine on my husband's Android but my iPhone can't process any payment.,ios,2025-01-21 15:23:49
REV0045,U01117,ORD013695,1,Payment keeps showing gateway timeout. What does that even mean?,ios,2025-01-23 08:50:23
REV0029,U03962,ORD014237,2,Payment takes forever and then fails. Wasted 20 minutes trying to order dinner.,ios,2025-01-23 14:00:31
REV0035,U03807,ORD014389,1,Asked my coworkers - everyone with an iPhone has this payment issue.,ios,2025-01-24 02:20:16
REV0049,U00832,ORD011398,1,Three stars? More like zero. Payment system is completely non-functional on iOS.,ios,2025-01-24 09:03:38
REV0032,U02325,ORD012922,2,Payment error every time. Error message just says 'Something went wrong'. Not helpful at all.,ios,2025-01-25 00:14:09
REV0038,U03582,ORD012564,1,Apple Pay used to be so fast. Now it just spins forever and fails.,ios,2025-01-25 11:15:19
REV0040,U03260,ORD012448,2,The checkout process is painfully slow now. Takes 30+ seconds to process.,ios,2025-01-25 14:54:06
REV0046,U00973,ORD013143,3,Delivery was cold when it arrived. Took almost an hour.,web,2025-01-26 09:11:39
REV0026,U03058,ORD013858,2,App freezes during payment every time. Have to force close and restart.,ios,2025-01-26 16:58:42
REV0039,U00593,ORD013908,1,Got charged twice because the payment timed out but actually went through. Nightmare.,ios,2025-01-26 20:26:37
REV0030,U02118,ORD012275,1,Deleted the app. Payment hasn't worked in weeks. Terrible experience.,ios,2025-01-27 06:32:35
REV0037,U02179,ORD012234,1,Was a loyal customer for 2 years. Now I can't even place an order. Sad.,ios,2025-01-27 07:54:28
REV0041,U01694,ORD013039,5,Ordering was smooth! Got my food in 25 minutes. Great experience.,android,2025-01-27 18:16:58
REV0022,U04791,ORD012116,1,This app is completely broken. Can't pay for anything on my iPhone.,ios,2025-01-28 11:01:43
REV0025,U01332,ORD014371,1,Apple Pay is completely broken. Haven't been able to order in 2 weeks.,ios,2025-01-28 15:15:23
REV0050,U03574,ORD011193,2,Managed to order once today after 6 attempts. The food was good at least.,ios,2025-01-28 17:27:17
