item_id,restaurant_id,name,description,price
MI00050,R0009,Spring Rolls,Crispy vegetable rolls with dipping sauce,12.59
MI00051,R0009,Dim Sum Platter,Assorted steamed dumplings,19.34
MI00052,R0009,Mapo Tofu,Spicy tofu in Sichuan sauce,10.22
MI00053,R0009,Beef Chow Mein,Stir-fried noodles with beef and vegetables,11.27
MI00054,R0009,Kung Pao Chicken,Spicy stir-fried chicken with peanuts,18.46
MI00055,R0009,Sweet and Sour Pork,Crispy pork in tangy sauce,16.75
MI00056,R0010,Beef Chow Mein,Stir-fried noodles with beef and vegetables,14.46
MI00057,R0010,Kung Pao Chicken,Spicy stir-fried chicken with peanuts,19.79
MI00058,R0010,Mapo Tofu,Spicy tofu in Sichuan sauce,16.91
MI00059,R0010,Dim Sum Platter,Assorted steamed dumplings,19.48
MI00060,R0011,Chicken Biryani,Fragrant rice with spiced chicken,16.76
MI00061,R0011,Butter Chicken,Tender chicken in creamy tomato sauce,14.11
MI00062,R0011,Tikka Masala,Grilled chicken in spiced masala sauce,21.61
MI00063,R0011,Palak Paneer,Spinach and cottage cheese curry,12.66
MI00064,R0011,Naan Bread,Traditional tandoor-baked flatbread,12.21
MI00065,R0011,Lamb Vindaloo,Spicy lamb curry with potatoes,22.67
MI00066,R0012,Naan Bread,Traditional tandoor-baked flatbread,8.00
MI00067,R0012,Chicken Biryani,Fragrant rice with spiced chicken,14.91
MI00068,R0012,Samosa,Crispy pastry with spiced potato filling,13.72
MI00069,R0012,Tikka Masala,Grilled chicken in spiced masala sauce,15.88
MI00070,R0012,Butter Chicken,Tender chicken in creamy tomato sauce,16.05
MI00071,R0012,Lamb Vindaloo,Spicy lamb curry with potatoes,21.77
MI00072,R0013,Butter Chicken,Tender chicken in creamy tomato sauce,19.64
MI00073,R0013,Samosa,Crispy pastry with spiced potato filling,13.86
MI00074,R0013,Palak Paneer,Spinach and cottage cheese curry,15.51
MI00075,R0013,Chicken Biryani,Fragrant rice with spiced chicken,16.26
MI00076,R0013,Lamb Vindaloo,Spicy lamb curry with potatoes,16.10
MI00077,R0013,Tikka Masala,Grilled chicken in spiced masala sauce,16.70
MI00078,R0013,Naan Bread,Traditional tandoor-baked flatbread,8.28
MI00079,R0014,Samosa,Crispy pastry with spiced potato filling,12.50
MI00080,R0014,Palak Paneer,Spinach and cottage cheese curry,12.20
MI00081,R0014,Tikka Masala,Grilled chicken in spiced masala sauce,16.71
MI00082,R0014,Lamb Vindaloo,Spicy lamb curry with potatoes,18.16
MI00083,R0015,Samosa,Crispy pastry with spiced potato filling,12.28
MI00084,R0015,Chicken Biryani,Fragrant rice with spiced chicken,17.47
MI00085,R0015,Naan Bread,Traditional tandoor-baked flatbread,8.00
MI00086,R0015,Tikka Masala,Grilled chicken in spiced masala sauce,20.59
MI00087,R0015,Palak Paneer,Spinach and cottage cheese curry,13.59
MI00088,R0015,Lamb Vindaloo,Spicy lamb curry with potatoes,22.88
MI00089,R0015,Butter Chicken,Tender chicken in creamy tomato sauce,19.62
MI00090,R0016,Enchiladas,Rolled tortillas in red sauce with cheese,14.99
MI00091,R0016,Guacamole & Chips,Fresh avocado dip with tortilla chips,8.16
MI00092,R0016,Beef Tacos,Three corn tortillas with seasoned beef,15.99
MI00093,R0016,Nachos Supreme,Loaded nachos with all the fixings,12.85
MI00094,R0016,Quesadilla,Grilled tortilla with cheese and chicken,15.50
MI00095,R0016,Chicken Burrito,"Flour tortilla with chicken, rice, and beans",15.76
MI00096,R0017,Chicken Burrito,"Flour tortilla with chicken, rice, and beans",12.72
MI00097,R0017,Enchiladas,Rolled tortillas in red sauce with cheese,14.73
MI00098,R0017,Nachos Supreme,Loaded nachos with all the fixings,17.70
MI00099,R0017,Beef Tacos,Three corn tortillas with seasoned beef,16.46
MI00100,R0018,Quesadilla,Grilled tortilla with cheese and chicken,13.16
MI00101,R0018,Chicken Burrito,"Flour tortilla with chicken, rice, and beans",17.28
MI00102,R0018,Enchiladas,Rolled tortillas in red sauce with cheese,16.32
MI00103,R0018,Nachos Supreme,Loaded nachos with all the fixings,12.15
MI00104,R0018,Beef Tacos,Three corn tortillas with seasoned beef,11.90
MI00105,R0018,Guacamole & Chips,Fresh avocado dip with tortilla chips,14.32
MI00106,R0019,Quesadilla,Grilled tortilla with cheese and chicken,11.07
MI00107,R0019,Beef Tacos,Three corn tortillas with seasoned beef,16.81
MI00108,R0019,Enchiladas,Rolled tortillas in red sauce with cheese,18.56
MI00109,R0019,Nachos Supreme,Loaded nachos with all the fixings,17.47
MI00110,R0019,Guacamole & Chips,Fresh avocado dip with tortilla chips,10.31
MI00111,R0019,Chicken Burrito,"Flour tortilla with chicken, rice, and beans",13.66
MI00112,R0020,Chicken Burrito,"Flour tortilla with chicken, rice, and beans",12.80
MI00113,R0020,Beef Tacos,Three corn tortillas with seasoned beef,14.46
MI00114,R0020,Enchiladas,Rolled tortillas in red sauce with cheese,13.79
MI00115,R0020,Guacamole & Chips,Fresh avocado dip with tortilla chips,13.85
MI00116,R0020,Quesadilla,Grilled tortilla with cheese and chicken,15.31
MI00117,R0020,Nachos Supreme,Loaded nachos with all the fixings,16.48
MI00118,R0021,Caesar Salad,Romaine lettuce with croutons and parmesan,11.73
MI00119,R0021,Classic Cheeseburger,Angus beef patty with cheddar and fixings,14.81
MI00120,R0021,Apple Pie,Classic American apple pie with ice cream,11.08
MI00121,R0021,Philly Cheesesteak,Sliced beef with melted cheese on hoagie,13.37
MI00122,R0022,Grilled Chicken Sandwich,Herb-marinated chicken breast sandwich,17.84
MI00123,R0022,BBQ Ribs,Slow-smoked pork ribs with BBQ sauce,22.17
MI00124,R0022,Philly Cheesesteak,Sliced beef with melted cheese on hoagie,14.15
MI00125,R0022,Classic Cheeseburger,Angus beef patty with cheddar and fixings,18.05
MI00126,R0023,Philly Cheesesteak,Sliced beef with melted cheese on hoagie,15.21
MI00127,R0023,BBQ Ribs,Slow-smoked pork ribs with BBQ sauce,22.97
MI00128,R0023,Grilled Chicken Sandwich,Herb-marinated chicken breast sandwich,11.87
MI00129,R0023,Apple Pie,Classic American apple pie with ice cream,9.87
MI00130,R0023,Mac and Cheese,Creamy baked macaroni and cheese,15.74
MI00131,R0023,Caesar Salad,Romaine lettuce with croutons and parmesan,12.19
MI00132,R0023,Classic Cheeseburger,Angus beef patty with cheddar and fixings,17.35
MI00133,R0024,Philly Cheesesteak,Sliced beef with melted cheese on hoagie,18.54
MI00134,R0024,Mac and Cheese,Creamy baked macaroni and cheese,9.60
MI00135,R0024,Grilled Chicken Sandwich,Herb-marinated chicken breast sandwich,12.93
MI00136,R0024,Apple Pie,Classic American apple pie with ice cream,12.79
MI00137,R0024,Caesar Salad,Romaine lettuce with croutons and parmesan,12.20
MI00138,R0024,Classic Cheeseburger,Angus beef patty with cheddar and fixings,15.07
MI00139,R0024,BBQ Ribs,Slow-smoked pork ribs with BBQ sauce,25.42
MI00140,R0025,Mac and Cheese,Creamy baked macaroni and cheese,9.42
MI00141,R0025,BBQ Ribs,Slow-smoked pork ribs with BBQ sauce,20.75
MI00142,R0025,Caesar Salad,Romaine lettuce with croutons and parmesan,15.96
MI00143,R0025,Philly Cheesesteak,Sliced beef with melted cheese on hoagie,17.06
MI00144,R0025,Grilled Chicken Sandwich,Herb-marinated chicken breast sandwich,16.96
MI00145,R0025,Apple Pie,Classic American apple pie with ice cream,9.18
MI00146,R0026,Green Curry,Coconut green curry with chicken,15.43
MI00147,R0026,Satay Skewers,Grilled chicken with peanut sauce,11.59
MI00148,R0026,Thai Fried Rice,Wok-fried jasmine rice with basil,12.61
MI00149,R0026,Pad Thai,Stir-fried rice noodles with shrimp,14.43
MI00150,R0027,Satay Skewers,Grilled chicken with peanut sauce,10.20
MI00151,R0027,Green Curry,Coconut green curry with chicken,16.63
MI00152,R0027,Tom Yum Soup,Spicy and sour shrimp soup,12.35
MI00153,R0027,Mango Sticky Rice,Sweet coconut rice with fresh mango,14.48
MI00154,R0028,Tom Yum Soup,Spicy and sour shrimp soup,15.66
MI00155,R0028,Pad Thai,Stir-fried rice noodles with shrimp,14.52
MI00156,R0028,Mango Sticky Rice,Sweet coconut rice with fresh mango,13.52
MI00157,R0028,Satay Skewers,Grilled chicken with peanut sauce,14.76
MI00158,R0028,Thai Fried Rice,Wok-fried jasmine rice with basil,17.38
MI00159,R0028,Green Curry,Coconut green curry with chicken,15.51
MI00160,R0029,Satay Skewers,Grilled chicken with peanut sauce,11.00
MI00161,R0029,Mango Sticky Rice,Sweet coconut rice with fresh mango,14.37
MI00162,R0029,Thai Fried Rice,Wok-fried jasmine rice with basil,14.96
MI00163,R0029,Green Curry,Coconut green curry with chicken,14.85
MI00164,R0029,Tom Yum Soup,Spicy and sour shrimp soup,14.11
MI00165,R0029,Pad Thai,Stir-fried rice noodles with shrimp,12.24
MI00166,R0030,Tom Yum Soup,Spicy and sour shrimp soup,13.98
MI00167,R0030,Pad Thai,Stir-fried rice noodles with shrimp,18.12
MI00168,R0030,Thai Fried Rice,Wok-fried jasmine rice with basil,17.47
MI00169,R0030,Green Curry,Coconut green curry with chicken,15.73
MI00170,R0030,Mango Sticky Rice,Sweet coconut rice with fresh mango,11.82
MI00171,R0030,Satay Skewers,Grilled chicken with peanut sauce,9.88
MI00172,R0031,Gyoza,Pan-fried pork dumplings,13.50
MI00173,R0031,Tempura Udon,Thick noodles with shrimp tempura,17.71
MI00174,R0031,Tonkotsu Ramen,Rich pork bone broth ramen,17.94
MI00175,R0031,Katsu Curry,Breaded pork cutlet with Japanese curry,21.32
MI00176,R0031,Edamame,Steamed soybeans with sea salt,12.06
MI00177,R0031,Teriyaki Chicken,Grilled chicken with teriyaki glaze,17.57
MI00178,R0032,Teriyaki Chicken,Grilled chicken with teriyaki glaze,19.20
MI00179,R0032,Edamame,Steamed soybeans with sea salt,8.00
MI00180,R0032,Tempura Udon,Thick noodles with shrimp tempura,15.27
MI00181,R0032,Katsu Curry,Breaded pork cutlet with Japanese curry,21.02
MI00182,R0032,Gyoza,Pan-fried pork dumplings,9.77
MI00183,R0032,Tonkotsu Ramen,Rich pork bone broth ramen,20.84
MI00184,R0033,Edamame,Steamed soybeans with sea salt,8.00
MI00185,R0033,Katsu Curry,Breaded pork cutlet with Japanese curry,20.84
MI00186,R0033,Teriyaki Chicken,Grilled chicken with teriyaki glaze,17.30
MI00187,R0033,Tempura Udon,Thick noodles with shrimp tempura,18.90
MI00188,R0033,Tonkotsu Ramen,Rich pork bone broth ramen,15.56
MI00189,R0034,Katsu Curry,Breaded pork cutlet with Japanese curry,21.67
MI00190,R0034,Teriyaki Chicken,Grilled chicken with teriyaki glaze,15.52
MI00191,R0034,Tempura Udon,Thick noodles with shrimp tempura,18.57
MI00192,R0034,Gyoza,Pan-fried pork dumplings,13.56
MI00193,R0034,Edamame,Steamed soybeans with sea salt,10.95
MI00194,R0034,Tonkotsu Ramen,Rich pork bone broth ramen,16.08
MI00195,R0035,Tempura Udon,Thick noodles with shrimp tempura,12.92
MI00196,R0035,Katsu Curry,Breaded pork cutlet with Japanese curry,15.41
MI00197,R0035,Teriyaki Chicken,Grilled chicken with teriyaki glaze,18.78
MI00198,R0035,Edamame,Steamed soybeans with sea salt,11.25
MI00199,R0036,Veggie Supreme,Loaded vegetable pizza,17.90
MI00200,R0036,Hawaiian Pizza,Ham and pineapple pizza,14.50
MI00201,R0036,Buffalo Wings,Spicy chicken wings with ranch,14.80
MI00202,R0036,Garlic Bread,Toasted bread with garlic butter,8.00
MI00203,R0036,Pepperoni Pizza,Classic pepperoni with mozzarella,13.64
MI00204,R0036,BBQ Chicken Pizza,Chicken with BBQ sauce and red onion,20.96
MI00205,R0037,Veggie Supreme,Loaded vegetable pizza,20.49
MI00206,R0037,Garlic Bread,Toasted bread with garlic butter,8.14
MI00207,R0037,BBQ Chicken Pizza,Chicken with BBQ sauce and red onion,19.89
MI00208,R0037,Buffalo Wings,Spicy chicken wings with ranch,16.27
MI00209,R0037,Hawaiian Pizza,Ham and pineapple pizza,16.98
MI00210,R0037,Pepperoni Pizza,Classic pepperoni with mozzarella,15.48
MI00211,R0038,Buffalo Wings,Spicy chicken wings with ranch,15.08
MI00212,R0038,Garlic Bread,Toasted bread with garlic butter,9.45
MI00213,R0038,Pepperoni Pizza,Classic pepperoni with mozzarella,19.12
MI00214,R0038,BBQ Chicken Pizza,Chicken with BBQ sauce and red onion,19.77
MI00215,R0038,Hawaiian Pizza,Ham and pineapple pizza,18.04
MI00216,R0038,Veggie Supreme,Loaded vegetable pizza,19.61
MI00217,R0039,Buffalo Wings,Spicy chicken wings with ranch,16.32
MI00218,R0039,Pepperoni Pizza,Classic pepperoni with mozzarella,14.13
MI00219,R0039,Hawaiian Pizza,Ham and pineapple pizza,16.20
MI00220,R0039,Garlic Bread,Toasted bread with garlic butter,8.00
MI00221,R0039,Veggie Supreme,Loaded vegetable pizza,20.04
MI00222,R0039,BBQ Chicken Pizza,Chicken with BBQ sauce and red onion,21.40
MI00223,R0040,BBQ Chicken Pizza,Chicken with BBQ sauce and red onion,20.37
MI00224,R0040,Pepperoni Pizza,Classic pepperoni with mozzarella,14.94
MI00225,R0040,Buffalo Wings,Spicy chicken wings with ranch,10.28
MI00226,R0040,Hawaiian Pizza,Ham and pineapple pizza,17.10
MI00227,R0040,Veggie Supreme,Loaded vegetable pizza,16.73
MI00228,R0040,Garlic Bread,Toasted bread with garlic butter,10.65
MI00229,R0041,Double Stack Burger,Two beef patties with cheese and sauce,15.62
MI00230,R0041,Mushroom Swiss Burger,Beef patty with mushrooms and Swiss,13.56
MI00231,R0041,Loaded Fries,"Fries with cheese, bacon, and sour cream",8.86
MI00232,R0041,Veggie Burger,Plant-based patty with avocado,11.11
MI00233,R0042,Mushroom Swiss Burger,Beef patty with mushrooms and Swiss,13.27
MI00234,R0042,Onion Rings,Beer-battered onion rings,12.42
MI00235,R0042,Milkshake,Thick vanilla or chocolate shake,8.04
MI00236,R0042,Loaded Fries,"Fries with cheese, bacon, and sour cream",12.46
MI00237,R0043,Crispy Chicken Burger,Breaded chicken with spicy mayo,15.37
MI00238,R0043,Mushroom Swiss Burger,Beef patty with mushrooms and Swiss,14.91
MI00239,R0043,Loaded Fries,"Fries with cheese, bacon, and sour cream",9.44
MI00240,R0043,Onion Rings,Beer-battered onion rings,8.47
MI00241,R0043,Veggie Burger,Plant-based patty with avocado,15.89
MI00242,R0043,Milkshake,Thick vanilla or chocolate shake,8.00
MI00243,R0043,Double Stack Burger,Two beef patties with cheese and sauce,19.26
MI00244,R0044,Mushroom Swiss Burger,Beef patty with mushrooms and Swiss,18.39
MI00245,R0044,Onion Rings,Beer-battered onion rings,11.05
MI00246,R0044,Milkshake,Thick vanilla or chocolate shake,8.00
MI00247,R0044,Veggie Burger,Plant-based patty with avocado,17.71
MI00248,R0044,Crispy Chicken Burger,Breaded chicken with spicy mayo,12.84
MI00249,R0044,Double Stack Burger,Two beef patties with cheese and sauce,14.08
MI00250,R0044,Loaded Fries,"Fries with cheese, bacon, and sour cream",10.66
MI00251,R0045,Veggie Burger,Plant-based patty with avocado,17.69
MI00252,R0045,Mushroom Swiss Burger,Beef patty with mushrooms and Swiss,16.98
MI00253,R0045,Double Stack Burger,Two beef patties with cheese and sauce,19.51
MI00254,R0045,Crispy Chicken Burger,Breaded chicken with spicy mayo,18.80
MI00255,R0045,Loaded Fries,"Fries with cheese, bacon, and sour cream",14.49
MI00256,R0045,Onion Rings,Beer-battered onion rings,9.40
MI00257,R0045,Milkshake,Thick vanilla or chocolate shake,12.12
MI00258,R0046,Spicy Tuna Roll,Tuna with spicy mayo and tempura flakes,11.78
MI00259,R0046,Edamame,Steamed soybeans with sea salt,8.00
MI00260,R0046,Dragon Roll,"Eel, cucumber, topped with avocado",15.27
MI00261,R0046,Salmon Nigiri,Fresh salmon over seasoned rice,15.92
MI00262,R0047,Salmon Nigiri,Fresh salmon over seasoned rice,12.36
MI00263,R0047,California Roll,"Crab, avocado, and cucumber roll",14.36
MI00264,R0047,Sashimi Platter,Assorted fresh raw fish,25.89
MI00265,R0047,Dragon Roll,"Eel, cucumber, topped with avocado",17.27
MI00266,R0047,Miso Soup,Traditional soybean soup,11.95
MI00267,R0047,Spicy Tuna Roll,Tuna with spicy mayo and tempura flakes,17.33
MI00268,R0047,Edamame,Steamed soybeans with sea salt,8.00
MI00269,R0048,Sashimi Platter,Assorted fresh raw fish,25.19
MI00270,R0048,Dragon Roll,"Eel, cucumber, topped with avocado",17.62
MI00271,R0048,Salmon Nigiri,Fresh salmon over seasoned rice,12.36
MI00272,R0048,Spicy Tuna Roll,Tuna with spicy mayo and tempura flakes,17.85
MI00273,R0048,California Roll,"Crab, avocado, and cucumber roll",11.12
MI00274,R0049,Miso Soup,Traditional soybean soup,9.81
MI00275,R0049,Spicy Tuna Roll,Tuna with spicy mayo and tempura flakes,11.13
MI00276,R0049,Sashimi Platter,Assorted fresh raw fish,24.25
MI00277,R0049,California Roll,"Crab, avocado, and cucumber roll",13.30
MI00278,R0049,Edamame,Steamed soybeans with sea salt,8.00
MI00279,R0049,Dragon Roll,"Eel, cucumber, topped with avocado",17.93
MI00280,R0049,Salmon Nigiri,Fresh salmon over seasoned rice,16.40
MI00281,R0050,Edamame,Steamed soybeans with sea salt,8.43
MI00282,R0050,Salmon Nigiri,Fresh salmon over seasoned rice,13.72
MI00283,R0050,California Roll,"Crab, avocado, and cucumber roll",16.97
MI00284,R0050,Spicy Tuna Roll,Tuna with spicy mayo and tempura flakes,15.90
